shape,children,adults,senior_citizens,total_sightings
changing,0.35,0.35,0.35,0.15000000000000002
chevron,0.35,0.35,0.35,-0.09999999999999998
cigar,-0.15000000000000002,-0.15000000000000002,-0.15000000000000002,0.15000000000000002
circle,-0.15000000000000002,-0.15000000000000002,-0.15000000000000002,0.65
cone,0.35,0.35,0.35,-0.35
cross,0.35,0.35,0.35,-0.35
cylinder,-0.65,-0.65,-0.65,-0.09999999999999998
diamond,0.09999999999999998,0.09999999999999998,0.09999999999999998,-0.09999999999999998
disk,-0.4,-0.4,-0.4,0.4
egg,-0.15000000000000002,-0.15000000000000002,-0.15000000000000002,-0.35
