elevation,pdsi,num_sightings,temp_avg,precipitation
"(-500, 0]",70.11441677588472,970,59.17916120576667,3.333997378768022
"(0, 500]",68.83196029776535,40827,57.50173076923027,3.0606355459056562
"(500, 1000]",68.94299297230268,3037,56.422736668044614,2.1290285241835467
"(1000, 1500]",70.52319236016345,1800,57.18744884038208,1.6256207366985
"(1500, 2000]",66.5404643449419,1491,52.56824212271991,1.4980597014925394
"(2000, 2500]",69.70000000000003,429,55.46631299734749,1.402228116710875
"(2500, 3000]",68.06923076923074,108,54.45604395604395,1.5708791208791204
"(3000, 3500]",82.97333333333333,15,68.68666666666667,0.6999999999999998
"(3500, 4000]",78.55,2,62.95,1.085
"(4000, 4500]",86.4,2,71.2,0.07
